TABLE_NAME|COLUMN_NAME|DATA_TYPE|NULLABLE
"customer"|"c_customer_sk"|"int"|0
"customer"|"c_customer_id"|"string"|0
"customer"|"c_current_cdemo_sk"|"int"|1
"customer"|"c_current_hdemo_sk"|"int"|1
"customer"|"c_current_addr_sk"|"int"|1
"customer"|"c_first_shipto_date_sk"|"int"|1
"customer"|"c_first_sales_date_sk"|"int"|1
"customer"|"c_salutation"|"string"|1
"customer"|"c_first_name"|"string"|1
"customer"|"c_last_name"|"string"|1
"customer"|"c_preferred_cust_flag"|"string"|1
"customer"|"c_birth_day"|"int"|1
"customer"|"c_birth_month"|"int"|1
"customer"|"c_birth_year"|"int"|1
"customer"|"c_birth_country"|"string"|1
"customer"|"c_login"|"string"|1
"customer"|"c_email_address"|"string"|1
"customer"|"c_last_review_date"|"int"|1
"web_site"|"web_site_sk"|"int"|0
"web_site"|"web_site_id"|"string"|0
"web_site"|"web_rec_start_date"|"string"|1
"web_site"|"web_rec_end_date"|"string"|1
"web_site"|"web_name"|"string"|1
"web_site"|"web_open_date_sk"|"int"|1
"web_site"|"web_close_date_sk"|"int"|1
"web_site"|"web_class"|"string"|1
"web_site"|"web_manager"|"string"|1
"web_site"|"web_mkt_id"|"int"|1
"web_site"|"web_mkt_class"|"string"|1
"web_site"|"web_mkt_desc"|"string"|1
"web_site"|"web_market_manager"|"string"|1
"web_site"|"web_company_id"|"int"|1
"web_site"|"web_company_name"|"string"|1
"web_site"|"web_street_number"|"string"|1
"web_site"|"web_street_name"|"string"|1
"web_site"|"web_street_type"|"string"|1
"web_site"|"web_suite_number"|"string"|1
"web_site"|"web_city"|"string"|1
"web_site"|"web_county"|"string"|1
"web_site"|"web_state"|"string"|1
"web_site"|"web_zip"|"string"|1
"web_site"|"web_country"|"string"|1
"web_site"|"web_gmt_offset"|"float"|1
"web_site"|"web_tax_percentage"|"float"|1
"catalog_sales"|"cs_sold_date_sk"|"int"|1
"catalog_sales"|"cs_sold_time_sk"|"int"|1
"catalog_sales"|"cs_ship_date_sk"|"int"|1
"catalog_sales"|"cs_bill_customer_sk"|"int"|1
"catalog_sales"|"cs_bill_cdemo_sk"|"int"|1
"catalog_sales"|"cs_bill_hdemo_sk"|"int"|1
"catalog_sales"|"cs_bill_addr_sk"|"int"|1
"catalog_sales"|"cs_ship_customer_sk"|"int"|1
"catalog_sales"|"cs_ship_cdemo_sk"|"int"|1
"catalog_sales"|"cs_ship_hdemo_sk"|"int"|1
"catalog_sales"|"cs_ship_addr_sk"|"int"|1
"catalog_sales"|"cs_call_center_sk"|"int"|1
"catalog_sales"|"cs_catalog_page_sk"|"int"|1
"catalog_sales"|"cs_ship_mode_sk"|"int"|1
"catalog_sales"|"cs_warehouse_sk"|"int"|1
"catalog_sales"|"cs_item_sk"|"int"|0
"catalog_sales"|"cs_promo_sk"|"int"|1
"catalog_sales"|"cs_order_number"|"int"|0
"catalog_sales"|"cs_quantity"|"int"|1
"catalog_sales"|"cs_wholesale_cost"|"float"|1
"catalog_sales"|"cs_list_price"|"float"|1
"catalog_sales"|"cs_sales_price"|"float"|1
"catalog_sales"|"cs_ext_discount_amt"|"float"|1
"catalog_sales"|"cs_ext_sales_price"|"float"|1
"catalog_sales"|"cs_ext_wholesale_cost"|"float"|1
"catalog_sales"|"cs_ext_list_price"|"float"|1
"catalog_sales"|"cs_ext_tax"|"float"|1
"catalog_sales"|"cs_coupon_amt"|"float"|1
"catalog_sales"|"cs_ext_ship_cost"|"float"|1
"catalog_sales"|"cs_net_paid"|"float"|1
"catalog_sales"|"cs_net_paid_inc_tax"|"float"|1
"catalog_sales"|"cs_net_paid_inc_ship"|"float"|1
"catalog_sales"|"cs_net_paid_inc_ship_tax"|"float"|1
"catalog_sales"|"cs_net_profit"|"float"|1
"reason"|"r_reason_sk"|"int"|0
"reason"|"r_reason_id"|"string"|0
"reason"|"r_reason_desc"|"string"|1
"web_page"|"wp_web_page_sk"|"int"|0
"web_page"|"wp_web_page_id"|"string"|0
"web_page"|"wp_rec_start_date"|"string"|1
"web_page"|"wp_rec_end_date"|"string"|1
"web_page"|"wp_creation_date_sk"|"int"|1
"web_page"|"wp_access_date_sk"|"int"|1
"web_page"|"wp_autogen_flag"|"string"|1
"web_page"|"wp_customer_sk"|"int"|1
"web_page"|"wp_url"|"string"|1
"web_page"|"wp_type"|"string"|1
"web_page"|"wp_char_count"|"int"|1
"web_page"|"wp_link_count"|"int"|1
"web_page"|"wp_image_count"|"int"|1
"web_page"|"wp_max_ad_count"|"int"|1
"store_sales"|"ss_sold_date_sk"|"int"|1
"store_sales"|"ss_sold_time_sk"|"int"|1
"store_sales"|"ss_item_sk"|"int"|0
"store_sales"|"ss_customer_sk"|"int"|1
"store_sales"|"ss_cdemo_sk"|"int"|1
"store_sales"|"ss_hdemo_sk"|"int"|1
"store_sales"|"ss_addr_sk"|"int"|1
"store_sales"|"ss_store_sk"|"int"|1
"store_sales"|"ss_promo_sk"|"int"|1
"store_sales"|"ss_ticket_number"|"int"|0
"store_sales"|"ss_quantity"|"int"|1
"store_sales"|"ss_wholesale_cost"|"float"|1
"store_sales"|"ss_list_price"|"float"|1
"store_sales"|"ss_sales_price"|"float"|1
"store_sales"|"ss_ext_discount_amt"|"float"|1
"store_sales"|"ss_ext_sales_price"|"float"|1
"store_sales"|"ss_ext_wholesale_cost"|"float"|1
"store_sales"|"ss_ext_list_price"|"float"|1
"store_sales"|"ss_ext_tax"|"float"|1
"store_sales"|"ss_coupon_amt"|"float"|1
"store_sales"|"ss_net_paid"|"float"|1
"store_sales"|"ss_net_paid_inc_tax"|"float"|1
"store_sales"|"ss_net_profit"|"float"|1
"call_center"|"cc_call_center_sk"|"int"|0
"call_center"|"cc_call_center_id"|"string"|0
"call_center"|"cc_rec_start_date"|"string"|1
"call_center"|"cc_rec_end_date"|"string"|1
"call_center"|"cc_closed_date_sk"|"int"|1
"call_center"|"cc_open_date_sk"|"int"|1
"call_center"|"cc_name"|"string"|1
"call_center"|"cc_class"|"string"|1
"call_center"|"cc_employees"|"int"|1
"call_center"|"cc_sq_ft"|"int"|1
"call_center"|"cc_hours"|"string"|1
"call_center"|"cc_manager"|"string"|1
"call_center"|"cc_mkt_id"|"int"|1
"call_center"|"cc_mkt_class"|"string"|1
"call_center"|"cc_mkt_desc"|"string"|1
"call_center"|"cc_market_manager"|"string"|1
"call_center"|"cc_division"|"int"|1
"call_center"|"cc_division_name"|"string"|1
"call_center"|"cc_company"|"int"|1
"call_center"|"cc_company_name"|"string"|1
"call_center"|"cc_street_number"|"string"|1
"call_center"|"cc_street_name"|"string"|1
"call_center"|"cc_street_type"|"string"|1
"call_center"|"cc_suite_number"|"string"|1
"call_center"|"cc_city"|"string"|1
"call_center"|"cc_county"|"string"|1
"call_center"|"cc_state"|"string"|1
"call_center"|"cc_zip"|"string"|1
"call_center"|"cc_country"|"string"|1
"call_center"|"cc_gmt_offset"|"float"|1
"call_center"|"cc_tax_percentage"|"float"|1
"ship_mode"|"sm_ship_mode_sk"|"int"|0
"ship_mode"|"sm_ship_mode_id"|"string"|0
"ship_mode"|"sm_type"|"string"|1
"ship_mode"|"sm_code"|"string"|1
"ship_mode"|"sm_carrier"|"string"|1
"ship_mode"|"sm_contract"|"string"|1
"household_demographics"|"hd_demo_sk"|"int"|0
"household_demographics"|"hd_income_band_sk"|"int"|1
"household_demographics"|"hd_buy_potential"|"string"|1
"household_demographics"|"hd_dep_count"|"int"|1
"household_demographics"|"hd_vehicle_count"|"int"|1
"time_dim"|"t_time_sk"|"int"|0
"time_dim"|"t_time_id"|"string"|0
"time_dim"|"t_time"|"int"|1
"time_dim"|"t_hour"|"int"|1
"time_dim"|"t_minute"|"int"|1
"time_dim"|"t_second"|"int"|1
"time_dim"|"t_am_pm"|"string"|1
"time_dim"|"t_shift"|"string"|1
"time_dim"|"t_sub_shift"|"string"|1
"time_dim"|"t_meal_time"|"string"|1
"inventory"|"inv_date_sk"|"int"|0
"inventory"|"inv_item_sk"|"int"|0
"inventory"|"inv_warehouse_sk"|"int"|0
"inventory"|"inv_quantity_on_hand"|"int"|1
"web_returns"|"wr_returned_date_sk"|"int"|1
"web_returns"|"wr_returned_time_sk"|"int"|1
"web_returns"|"wr_item_sk"|"int"|0
"web_returns"|"wr_refunded_customer_sk"|"int"|1
"web_returns"|"wr_refunded_cdemo_sk"|"int"|1
"web_returns"|"wr_refunded_hdemo_sk"|"int"|1
"web_returns"|"wr_refunded_addr_sk"|"int"|1
"web_returns"|"wr_returning_customer_sk"|"int"|1
"web_returns"|"wr_returning_cdemo_sk"|"int"|1
"web_returns"|"wr_returning_hdemo_sk"|"int"|1
"web_returns"|"wr_returning_addr_sk"|"int"|1
"web_returns"|"wr_web_page_sk"|"int"|1
"web_returns"|"wr_reason_sk"|"int"|1
"web_returns"|"wr_order_number"|"int"|0
"web_returns"|"wr_return_quantity"|"int"|1
"web_returns"|"wr_return_amt"|"float"|1
"web_returns"|"wr_return_tax"|"float"|1
"web_returns"|"wr_return_amt_inc_tax"|"float"|1
"web_returns"|"wr_fee"|"float"|1
"web_returns"|"wr_return_ship_cost"|"float"|1
"web_returns"|"wr_refunded_cash"|"float"|1
"web_returns"|"wr_reversed_charge"|"float"|1
"web_returns"|"wr_account_credit"|"float"|1
"web_returns"|"wr_net_loss"|"float"|1
"customer_address"|"ca_address_sk"|"int"|0
"customer_address"|"ca_address_id"|"string"|0
"customer_address"|"ca_street_number"|"string"|1
"customer_address"|"ca_street_name"|"string"|1
"customer_address"|"ca_street_type"|"string"|1
"customer_address"|"ca_suite_number"|"string"|1
"customer_address"|"ca_city"|"string"|1
"customer_address"|"ca_county"|"string"|1
"customer_address"|"ca_state"|"string"|1
"customer_address"|"ca_zip"|"string"|1
"customer_address"|"ca_country"|"string"|1
"customer_address"|"ca_gmt_offset"|"float"|1
"customer_address"|"ca_location_type"|"string"|1
"catalog_returns"|"cr_returned_date_sk"|"int"|1
"catalog_returns"|"cr_returned_time_sk"|"int"|1
"catalog_returns"|"cr_item_sk"|"int"|0
"catalog_returns"|"cr_refunded_customer_sk"|"int"|1
"catalog_returns"|"cr_refunded_cdemo_sk"|"int"|1
"catalog_returns"|"cr_refunded_hdemo_sk"|"int"|1
"catalog_returns"|"cr_refunded_addr_sk"|"int"|1
"catalog_returns"|"cr_returning_customer_sk"|"int"|1
"catalog_returns"|"cr_returning_cdemo_sk"|"int"|1
"catalog_returns"|"cr_returning_hdemo_sk"|"int"|1
"catalog_returns"|"cr_returning_addr_sk"|"int"|1
"catalog_returns"|"cr_call_center_sk"|"int"|1
"catalog_returns"|"cr_catalog_page_sk"|"int"|1
"catalog_returns"|"cr_ship_mode_sk"|"int"|1
"catalog_returns"|"cr_warehouse_sk"|"int"|1
"catalog_returns"|"cr_reason_sk"|"int"|1
"catalog_returns"|"cr_order_number"|"int"|0
"catalog_returns"|"cr_return_quantity"|"int"|1
"catalog_returns"|"cr_return_amount"|"float"|1
"catalog_returns"|"cr_return_tax"|"float"|1
"catalog_returns"|"cr_return_amt_inc_tax"|"float"|1
"catalog_returns"|"cr_fee"|"float"|1
"catalog_returns"|"cr_return_ship_cost"|"float"|1
"catalog_returns"|"cr_refunded_cash"|"float"|1
"catalog_returns"|"cr_reversed_charge"|"float"|1
"catalog_returns"|"cr_store_credit"|"float"|1
"catalog_returns"|"cr_net_loss"|"float"|1
"item"|"i_item_sk"|"int"|0
"item"|"i_item_id"|"string"|0
"item"|"i_rec_start_date"|"string"|1
"item"|"i_rec_end_date"|"string"|1
"item"|"i_item_desc"|"string"|1
"item"|"i_current_price"|"float"|1
"item"|"i_wholesale_cost"|"float"|1
"item"|"i_brand_id"|"int"|1
"item"|"i_brand"|"string"|1
"item"|"i_class_id"|"int"|1
"item"|"i_class"|"string"|1
"item"|"i_category_id"|"int"|1
"item"|"i_category"|"string"|1
"item"|"i_manufact_id"|"int"|1
"item"|"i_manufact"|"string"|1
"item"|"i_size"|"string"|1
"item"|"i_formulation"|"string"|1
"item"|"i_color"|"string"|1
"item"|"i_units"|"string"|1
"item"|"i_container"|"string"|1
"item"|"i_manager_id"|"int"|1
"item"|"i_product_name"|"string"|1
"warehouse"|"w_warehouse_sk"|"int"|0
"warehouse"|"w_warehouse_id"|"string"|0
